model,accuracy,precision_macro,recall_macro,f1_macro
decision_tree,0.8227848101265823,0.8187134502923977,0.8529014844804319,0.8310545839957605
logistic_regression,0.8481012658227848,0.8483346046275108,0.8704453441295547,0.8558409009536829
random_forest,0.8607594936708861,0.8517293233082707,0.887314439946019,0.8648043692362789
svm,0.810126582278481,0.8266472868217054,0.809131803868646,0.8120443959621145
xgboost,0.8607594936708861,0.8628593628593628,0.879217273954116,0.8665223665223665
